captured_at,book_id,title,category,chapter_title,chapter_url,chars,paragraphs,sentences,avg_sentence_chars,avg_paragraph_chars,short_paragraph_share,dialogue_char_share,questions_per_1k,exclaims_per_1k,ellipses_per_1k,first_person_per_1k,third_person_per_1k,punctuation_per_1k,sample_scope
2026-08-31T14:30:00+08:00,3660623,东北风云：黑血漫过松花江,都市生活,第一章 江湖夜雨,https://www.17k.com/chapter/3660623/50044469.html,2580,73,85,30.4,35.3,0.425,0.324,3.49,9.30,0.78,6.59,6.20,112.4,首个公开正文章
2026-08-31T14:30:00+08:00,3669552,娘子，我真不想考状元,架空历史,第1章 魂穿临安，开局就是赘婿,https://www.17k.com/chapter/3669552/50267654.html,3489,171,173,20.2,20.4,0.719,0.379,5.73,0.57,4.01,2.58,12.90,117.2,首个公开正文章
2026-08-31T14:30:00+08:00,3667335,乾坤一主,东方玄幻,第一章 雨夜乱葬岗,https://www.17k.com/chapter/3667335/50211990.html,3250,96,133,24.4,33.9,0.531,0.108,1.85,7.69,4.92,1.85,15.08,113.5,首个公开正文章
2026-08-31T14:30:00+08:00,3672220,一口粮,现实题材,第一章 1958年7-8月,https://www.17k.com/chapter/3672220/50342633.html,3465,98,143,24.2,35.4,0.449,0.353,7.50,2.60,1.44,9.81,10.10,107.1,首个公开正文章
2026-08-31T14:30:00+08:00,3675375,大宋三十六将,架空历史,第一章 洪太尉误开伏魔殿 天罡星错落尘寰世,https://www.17k.com/chapter/3675375/50422547.html,7026,111,228,30.8,63.3,0.234,0.253,1.14,7.97,0.43,2.28,0.28,146.0,首个公开正文章
2026-08-31T14:30:00+08:00,3583700,星痕之门,时空穿梭,第一章 00848,https://www.17k.com/chapter/3583700/48584344.html,3385,90,135,25.1,37.6,0.456,0.368,6.20,2.07,4.73,9.45,6.20,111.1,排除新书感言后的首个正文章
2026-08-31T14:30:00+08:00,3038645,第九特区,末世危机,第一章 初来乍到,https://www.17k.com/chapter/3038645/38755562.html,5736,156,250,22.9,36.8,0.397,0.409,8.37,1.57,2.27,7.50,3.14,115.2,排除上架感言后的首个正文章
2026-08-31T14:30:00+08:00,3597196,太上无情,洪荒封神,第一章 传位诏书,https://www.17k.com/chapter/3597196/48778774.html,3363,76,93,36.2,44.3,0.237,0.348,7.14,1.19,0.59,6.24,1.19,105.6,排除闲聊后的首个正文章
