captured_at,surface,period,rank,title,book_id,category,displayed_value,value_type,source_url
2026-08-31T13:30:00+08:00,male_current_click,current,7,全体起立！真龙归来,,都市异能,441,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,8,首席医官,,都市生活,313,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,9,灵道纪,,东方玄幻,295,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,10,天棺秘藏,,都市生活,267,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,11,大宋三十六将,3675375,架空历史,213,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,12,葬活人……,,民间奇谈,134,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,13,我的江湖岁月,,都市生活,130,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,14,大明之三十六将,,历史穿越,115,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,15,直播揭秘：女娲补……,3669093,探险揭秘,109,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,16,小富即安……,,架空历史,106,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,17,卧虎,,都市生活,99,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,18,我的心动女邻居,,都市生活,86,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,19,校园无敌贴身高手,,都市异能,81,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,20,都市狂医:寒门崛起,3665801,都市异能,79,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,21,寒门弃子,,,63,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,22,瀚海归尘,,,60,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,23,武道洞玄,,,57,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,24,从滴水境到主宰至尊,,,57,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,25,打猎……,,,53,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,26,全能教学系统,,,51,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,27,黑木崖……,,,49,click_display,https://www.17k.com/man/
2026-08-31T13:30:00+08:00,male_current_click,current,28,龙神古尊,,,45,click_display,https://www.17k.com/man/
